asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Hyades / V of Taurus,Theta Tauri,Chamukuy,4.4777050000,15.8708830000,3.4,Pinned HYG v4.1; positional cross-match 0.060 arcsec from CDS Sesame/SIMBAD * tet02 Tau,HIP 20894,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 20894,Theta2 Tauri
Hyades / V of Taurus,Gamma Tauri,Prima Hyadum,4.3298890000,15.6276420000,3.65,Pinned HYG v4.1,HIP 20205,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 20205,
Hyades / V of Taurus,Delta Tauri,Secunda Hyadum,4.3822470000,17.5425140000,3.77,Pinned HYG v4.1; positional cross-match 0.085 arcsec from CDS Sesame/SIMBAD * del Tau,HIP 20455,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 20455,Delta1 Tauri
Hyades / V of Taurus,Epsilon Tauri,Ain,4.4769430000,19.1804310000,3.53,Pinned HYG v4.1,HIP 20889,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 20889,
Pleiades,Alcyone,Alcyone,3.7914100000,24.1051370000,2.85,Pinned HYG v4.1,HIP 17702,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17702,
Pleiades,Atlas,Atlas,3.8193730000,24.0534150000,3.62,Pinned HYG v4.1,HIP 17847,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17847,
Pleiades,Electra,Electra,3.7479270000,24.1133390000,3.72,Pinned HYG v4.1,HIP 17499,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17499,
Pleiades,Maia,Maia,3.7637790000,24.3677480000,3.87,Pinned HYG v4.1,HIP 17573,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17573,
Pleiades,Merope,Merope,3.7721040000,23.9483580000,4.14,Pinned HYG v4.1,HIP 17608,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17608,
Pleiades,Taygeta,Taygeta,3.7534700000,24.4672780000,4.3,Pinned HYG v4.1,HIP 17531,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17531,
Pleiades,Pleione,Pleione,3.8197820000,24.1367120000,5.05,Pinned HYG v4.1,HIP 17851,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 17851,
Summer Triangle,Vega,Vega,18.6156400000,38.7836920000,0.03,Star Almanack expanded-bayer-stars.csv,HIP 91262,Star Almanack expanded-bayer-stars.csv,HIP 91262,
Summer Triangle,Altair,Altair,19.8463880000,8.8683220000,0.76,Star Almanack expanded-bayer-stars.csv,HIP 97649,Star Almanack expanded-bayer-stars.csv,HIP 97649,
