hip,ra_h,dec_deg
41312,8.4289572907,-66.1365204200
41704,8.5044528213,60.7184311000
42313,8.6276131593,5.7037986800
42402,8.6459579953,3.3414747700
42515,8.6683712627,-35.3083009100
42799,8.7204128767,3.3986653900
42806,8.7214480847,21.4685960900
42828,8.7265409673,-33.1864113300
42911,8.7447528060,18.1548639900
42913,8.7450548093,-54.7085679700
43103,8.7782873033,28.7600050900
43109,8.7796239533,6.4189069100
43234,8.8072169007,5.8378848600
43409,8.8422253673,-27.7100586900
43813,8.9232457913,5.9455277000
44066,8.9747769387,11.8577719800
44127,8.9868996527,48.0423495600
44248,9.0107645100,41.7834440100
44382,9.0407774540,-66.3958436900
44471,9.0604329960,47.1566593400
44700,9.1088300147,38.4522502400
44816,9.1332714173,-43.4326240600
45238,9.2200668860,-69.7174724500
45336,9.2393870193,2.3150242200
45556,9.2848412227,-59.2752611500
45688,9.3140742627,36.8028976300
45860,9.3509607793,34.3925259200
45941,9.3685636740,-55.0106953100
46146,9.4109109300,26.1824409100
46390,9.4597921733,-8.6586833500
46515,9.4874270767,-35.9513478000
46651,9.5116980420,-40.4668876300
46733,9.5254360167,63.0617954500
46750,9.5286778773,22.9680654500
46853,9.5478681273,51.6786020800
46952,9.5703824933,36.3976133800
47431,9.6642594373,-1.1426572200
47908,9.7641951133,23.7742779200
48319,9.8499143613,59.0391043700
48356,9.8579673553,-14.8465499700
48437,9.8751308073,-8.1049155900
48455,9.8794326853,26.0070849800
48774,9.9477096800,-54.5677973000
49402,10.0854145707,-13.0646743500
49583,10.1222092987,16.7626657200
49593,10.1238125413,35.2446917600
49641,10.1323043260,-0.3716278600
49669,10.1395720500,11.9671951300
49841,10.1764991900,-12.3538392100
50099,10.2289663673,-70.0379216900
50191,10.2456315993,-42.1220628100
50335,10.2781678700,23.4173284000
50372,10.2849797093,42.9144685500
50583,10.3328227027,19.8418603200
50801,10.3721675700,41.4994335000
51056,10.4319075340,33.7962636400
51069,10.4348625120,-16.8360958400
51172,10.4525433020,-31.0678022800
51233,10.4647479100,36.7074781800
51362,10.4913140860,-2.7390470100
51437,10.5048619567,-0.6369720800
51576,10.5337455000,-61.6853603100
51839,10.5911717787,-78.6078137900
52419,10.7159518680,-64.3944793700
52468,10.7256410287,-60.5666270500
52633,10.7630932660,-80.5402028300
52727,10.7794783613,-49.4201251700
52943,10.8270644660,-16.1941320800
53229,10.8885110747,34.2155664100
53253,10.8915461733,-58.8532647400
53502,10.9452767520,-37.1374629000
53740,10.9963191093,-18.2990972300
53910,11.0306641000,56.3823447800
53954,11.0388281033,20.1797457500
54061,11.0621769100,61.7511188800
54301,11.1090206400,-62.4241365400
54463,11.1431654540,-58.9750419800
54539,11.1610720613,44.4985533700
54682,11.1943017447,-22.8256064200
54751,11.2100056353,-60.3176307000
54872,11.2351144700,20.5240338400
54879,11.2373446907,15.4297631000
55203,11.3031000000,31.5308000000
55219,11.3079875900,33.0942388100
55282,11.3223674020,-14.7790435800
55434,11.3522911553,6.0293528900
55642,11.3987135560,10.5296977200
55687,11.4101681633,-10.8593827600
55705,11.4147175567,-17.6840174800
56211,11.5234134660,69.3311216100
56250,11.5302242767,-59.5156493200
56343,11.5500719573,-31.8575240500
56480,11.5793644280,-54.2641316700
56633,11.6113745833,-9.8022536800
57283,11.7460441507,-18.3506146700
57363,11.7601575907,-66.7288434400
57380,11.7643251560,6.5298139400
57399,11.7675372580,47.7793370100
57632,11.8177439847,14.5723368700
57757,11.8448017020,1.7653770500
57936,11.8818225780,-33.9081301400
58001,11.8971503573,53.6947329600
58188,11.9336065347,-17.1508086300
